iter	Passed	Remaining
0	30	30045
1	93	46692
2	132	44126
3	159	39700
4	185	36962
5	206	34169
6	225	32044
7	236	29323
8	256	28292
9	276	27356
10	293	26423
11	313	25827
12	324	24640
13	344	24236
14	363	23861
15	387	23816
16	408	23600
17	427	23323
18	447	23096
19	466	22862
20	485	22636
21	528	23491
22	550	23365
23	603	24524
24	631	24643
25	655	24545
26	680	24529
27	689	23931
28	709	23743
29	729	23592
30	743	23232
31	767	23209
32	791	23187
33	812	23077
34	826	22782
35	839	22486
36	858	22334
37	878	22227
38	898	22133
39	910	21853
40	932	21814
41	951	21710
42	972	21646
43	986	21440
44	1014	21538
45	1052	21824
46	1111	22533
47	1147	22761
48	1172	22753
49	1194	22691
50	1203	22386
51	1217	22189
52	1228	21943
53	1241	21755
54	1264	21721
55	1283	21635
56	1302	21556
57	1325	21531
58	1344	21445
59	1362	21345
60	1381	21269
61	1396	21126
62	1415	21058
63	1423	20824
64	1443	20758
65	1463	20710
66	1473	20513
67	1492	20457
68	1504	20296
69	1511	20087
70	1550	20288
71	1609	20750
72	1619	20568
73	1658	20751
74	1679	20718
75	1692	20579
76	1705	20445
77	1724	20387
78	1744	20343
79	1765	20301
80	1786	20268
81	1807	20232
82	1834	20269
83	1843	20099
84	1863	20061
85	1879	19971
86	1908	20025
87	1918	19879
88	1946	19923
89	1968	19907
90	1989	19877
91	2027	20007
92	2067	20165
93	2115	20390
94	2144	20427
95	2158	20328
96	2178	20280
97	2208	20323
98	2222	20225
99	2233	20102
100	2253	20055
101	2272	20010
102	2283	19884
103	2302	19836
104	2316	19742
105	2335	19700
106	2355	19655
107	2378	19643
108	2398	19607
109	2421	19592
110	2443	19572
111	2461	19517
112	2485	19510
113	2510	19512
114	2559	19693
115	2605	19853
116	2638	19913
117	2658	19871
118	2678	19833
119	2699	19795
120	2719	19752
121	2738	19708
122	2757	19664
123	2778	19625
124	2797	19584
125	2818	19552
126	2838	19511
127	2849	19409
128	2869	19372
129	2892	19355
130	2913	19326
131	2934	19294
132	2963	19316
133	2986	19299
134	3016	19327
135	3072	19522
136	3100	19528
137	3136	19589
138	3164	19601
139	3190	19595
140	3212	19571
141	3238	19568
142	3259	19534
143	3279	19496
144	3297	19444
145	3316	19401
146	3342	19397
147	3366	19379
148	3388	19351
149	3408	19312
150	3424	19254
151	3435	19165
152	3455	19130
153	3475	19091
154	3495	19054
155	3515	19020
156	3549	19058
157	3603	19204
158	3632	19214
159	3664	19236
160	3688	19222
161	3709	19188
162	3730	19154
163	3766	19201
164	3793	19198
165	3816	19176
166	3830	19109
167	3849	19065
168	3869	19026
169	3888	18984
170	3913	18971
171	3933	18936
172	3954	18902
173	3968	18838
174	3988	18800
175	4028	18861
176	4054	18850
177	4110	18982
178	4144	19007
179	4157	18938
180	4176	18898
181	4186	18817
182	4205	18773
183	4224	18735
184	4244	18697
185	4265	18666
186	4285	18631
187	4304	18592
188	4324	18558
189	4346	18529
190	4366	18495
191	4387	18464
192	4407	18431
193	4422	18373
194	4442	18338
195	4461	18299
196	4480	18264
197	4509	18266
198	4545	18295
199	4595	18380
200	4624	18380
201	4649	18368
202	4654	18273
203	4674	18238
204	4695	18210
205	4709	18150
206	4725	18102
207	4745	18068
208	4765	18035
209	4786	18005
210	4794	17930
211	4816	17901
212	4837	17873
213	4857	17841
214	4879	17816
215	4900	17787
216	4920	17756
217	4942	17728
218	4962	17698
219	4983	17668
220	5003	17636
221	5041	17666
222	5093	17748
223	5104	17683
224	5138	17697
225	5162	17682
226	5187	17663
227	5209	17639
228	5229	17607
229	5249	17574
230	5253	17490
231	5261	17418
232	5281	17385
233	5305	17368
234	5329	17349
235	5350	17321
236	5361	17262
237	5383	17236
238	5404	17207
239	5425	17179
240	5444	17147
241	5465	17117
242	5485	17087
243	5509	17069
244	5570	17164
245	5597	17155
246	5627	17156
247	5654	17145
248	5677	17123
249	5698	17094
250	5718	17063
251	5738	17034
252	5751	16982
253	5778	16971
254	5799	16943
255	5819	16913
256	5846	16903
257	5869	16880
258	5875	16808
259	5883	16746
260	5905	16719
261	5909	16646
262	5920	16591
263	5941	16563
264	5946	16493
265	5956	16437
266	5977	16409
267	6023	16452
268	6089	16546
269	6115	16533
270	6141	16520
271	6169	16513
272	6191	16488
273	6202	16434
274	6222	16404
275	6243	16378
276	6263	16349
277	6285	16322
278	6307	16299
279	6327	16271
280	6351	16252
281	6357	16187
282	6385	16179
283	6407	16154
284	6431	16133
285	6450	16104
286	6458	16045
287	6484	16030
288	6509	16015
289	6577	16104
290	6610	16105
291	6643	16109
292	6664	16080
293	6684	16051
294	6703	16020
295	6722	15988
296	6739	15952
297	6760	15925
298	6780	15896
299	6806	15881
300	6816	15830
301	6826	15777
302	6846	15749
303	6866	15720
304	6886	15692
305	6903	15657
306	6908	15594
307	6921	15551
308	6926	15490
309	6948	15467
310	6957	15413
311	6977	15385
312	7014	15397
313	7021	15339
314	7073	15381
315	7080	15325
316	7117	15334
317	7129	15290
318	7152	15269
319	7179	15257
320	7205	15240
321	7213	15187
322	7234	15162
323	7255	15137
324	7276	15112
325	7295	15084
326	7321	15067
327	7342	15044
328	7363	15018
329	7381	14987
330	7403	14963
331	7407	14904
332	7427	14877
333	7447	14850
334	7467	14824
335	7487	14797
336	7512	14779
337	7523	14735
338	7572	14765
339	7600	14754
340	7635	14756
341	7655	14729
342	7667	14687
343	7689	14664
344	7694	14608
345	7713	14579
346	7729	14545
347	7758	14535
348	7782	14517
349	7807	14499
350	7827	14472
351	7848	14447
352	7870	14424
353	7875	14370
354	7894	14343
355	7922	14331
356	7932	14287
357	7954	14264
358	7973	14237
359	7978	14183
360	7998	14157
361	8050	14189
362	8063	14150
363	8113	14177
364	8141	14164
365	8168	14149
366	8178	14107
367	8192	14069
368	8212	14042
369	8228	14010
370	8232	13958
371	8251	13930
372	8270	13902
373	8275	13851
374	8297	13829
375	8318	13805
376	8339	13780
377	8350	13741
378	8370	13715
379	8395	13697
380	8421	13681
381	8443	13659
382	8504	13700
383	8546	13710
384	8586	13715
385	8619	13711
386	8632	13674
387	8651	13646
388	8671	13620
389	8691	13593
390	8712	13570
391	8739	13554
392	8763	13536
393	8770	13490
394	8792	13466
395	8815	13445
396	8833	13417
397	8849	13385
398	8871	13362
399	8892	13338
400	8912	13313
401	8934	13291
402	8957	13269
403	8989	13261
404	9018	13248
405	9079	13284
406	9115	13280
407	9139	13261
408	9159	13235
409	9183	13214
410	9209	13197
411	9231	13174
412	9251	13149
413	9270	13122
414	9292	13098
415	9317	13079
416	9338	13055
417	9354	13025
418	9374	12998
419	9395	12975
420	9416	12950
421	9437	12925
422	9444	12882
423	9464	12856
424	9512	12870
425	9562	12885
426	9593	12874
427	9626	12864
428	9646	12839
429	9667	12814
430	9688	12790
431	9708	12764
432	9728	12739
433	9747	12712
434	9761	12678
435	9781	12653
436	9801	12627
437	9821	12602
438	9841	12577
439	9862	12551
440	9881	12525
441	9912	12514
442	9934	12490
443	9956	12468
444	9980	12447
445	10020	12447
446	10080	12470
447	10118	12467
448	10144	12449
